MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City,TotalCrime
"Akron, OH M.S.A.",238.4,5.1,38.2,75.2,119.8,2552.4,575.3,1853.0,124.1,OH,Akron,5581.5
"Altoona, PA M.S.A.",216.5,0.8,28.7,25.5,161.6,1430.2,218.9,1163.6,47.8,PA,Altoona,3293.6000000000004
"Ames, IA M.S.A.",158.5,1.0,47.2,19.9,90.3,1848.3,311.7,1462.0,74.5,IA,Ames,4013.3999999999996
"Ann Arbor, MI M.S.A.",319.5,1.9,57.0,51.4,209.2,1791.9,290.4,1417.4,84.2,MI,AnnArbor,4222.900000000001
"Appleton, WI M.S.A.",138.8,0.4,24.1,8.6,105.7,1394.9,206.6,1154.7,33.5,WI,Appleton,3067.3
"Asheville, NC M.S.A.",202.0,2.7,19.5,50.2,129.7,2158.8,592.6,1436.6,129.7,NC,Asheville,4721.8
"Austin-Round Rock, TX M.S.A.2",287.7,2.2,44.9,61.2,179.4,2672.8,415.7,2096.8,160.2,TX,Austin,5920.900000000001
"Bangor, ME M.S.A.",67.3,2.0,9.1,17.6,38.5,1984.5,337.0,1604.4,43.1,ME,Bangor,4103.5
"Barnstable Town, MA M.S.A.",518.7,1.4,49.4,28.9,439.1,1722.5,475.9,1170.7,75.9,MA,Barnstable,4482.5
"Bay City, MI M.S.A.",283.4,0.0,80.3,36.8,166.3,2100.4,497.0,1520.2,83.1,MI,BayCity,4767.5
"Bend-Redmond, OR M.S.A.",176.8,1.7,38.3,18.9,117.9,2364.1,299.3,1967.5,97.3,OR,Bend,5081.8
"Binghamton, NY M.S.A.",274.7,2.8,71.6,62.7,137.6,2534.1,410.7,2070.9,52.5,NY,Binghamton,5617.6
"Bismarck, ND M.S.A.",227.1,3.1,37.1,13.1,173.8,1667.6,188.5,1320.1,159.1,ND,Bismarck,3789.5
"Bloomington, IL M.S.A.",252.0,0.0,61.8,32.0,158.2,1668.6,322.2,1278.3,68.1,IL,Bloomington,3841.1999999999994
"Bloomington, IN M.S.A.",277.7,1.8,44.8,47.2,183.9,2557.1,492.5,1907.3,157.3,IN,Bloomington,5669.6
"Bloomsburg-Berwick, PA M.S.A",152.7,1.2,22.2,7.0,122.4,1325.8,240.2,1057.6,28.0,PA,Bloomsburg,2957.1
"Boise City, ID M.S.A.",233.9,1.8,49.3,13.7,169.1,1725.3,315.3,1286.4,123.6,ID,Boise,3918.4
"Bowling Green, KY M.S.A.",173.4,0.6,44.2,52.0,76.5,2405.6,477.2,1784.9,143.5,KY,BowlingGreen,5157.9
"Bridgeport-Stamford-Norwalk, CT M.S.A.",201.5,2.5,21.8,76.9,100.3,1473.2,236.6,1090.9,145.7,CT,Bridgeport,3349.4
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",401.8,4.4,33.1,132.8,231.5,2413.5,474.4,1805.7,133.4,NY,Buffalo,5630.599999999999
"Burlington, NC M.S.A.",395.3,5.1,19.8,64.4,306.1,2475.9,708.4,1666.1,101.4,NC,Burlington,5742.5
"Burlington-South Burlington, VT M.S.A.",128.5,0.9,23.0,21.7,82.9,1955.4,375.4,1564.3,15.7,VT,Burlington,4167.8
"California-Lexington Park, MD M.S.A.",266.1,0.9,18.0,45.8,201.4,2055.1,490.0,1503.1,62.0,MD,California,4642.4
"Canton-Massillon, OH M.S.A.",323.7,3.2,43.6,91.1,185.9,2568.2,652.4,1799.4,116.3,OH,Canton,5783.8
"Cape Coral-Fort Myers, FL M.S.A.",356.1,4.4,29.5,80.9,241.3,1801.2,407.0,1270.8,123.4,FL,CapeCoral,4314.599999999999
"Carson City, NV M.S.A.",314.7,1.8,3.7,36.6,272.6,1829.7,336.7,1341.2,151.9,NV,CarsonCity,4288.9
"Casper, WY M.S.A.",234.3,1.2,39.9,26.6,166.7,2513.4,402.2,1984.4,126.8,WY,Casper,5495.5
"Cedar Rapids, IA M.S.A.",189.5,3.0,18.8,43.7,123.9,2350.4,532.3,1681.7,136.4,IA,CedarRapids,5079.7
"Chambersburg-Waynesboro, PA M.S.A.",159.5,2.0,37.8,43.0,76.8,1619.8,307.3,1233.1,79.4,PA,Chambersburg,3558.7000000000003
"Charlottesville, VA M.S.A.",164.6,1.3,35.5,31.5,96.3,1514.5,252.2,1199.2,63.0,VA,Charlottesville,3358.1000000000004
"Cheyenne, WY M.S.A.",177.4,7.2,17.5,9.3,143.4,2581.9,443.6,1997.0,141.3,WY,Cheyenne,5518.6
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.",377.6,7.1,30.8,137.1,202.6,2013.9,328.9,1520.2,164.8,IL,Chicago,4783.000000000001
"Chicago-Naperville-Arlington Heights, IL M.D.",430.3,7.7,32.8,160.8,228.9,2077.3,339.2,1554.1,183.9,IL,Chicago,5015.0
"Elgin, IL M.D.",189.4,1.6,28.5,37.2,122.0,1342.2,188.1,1112.0,42.1,IL,Elgin,3063.1
"Gary, IN M.D.",268.9,11.9,19.3,91.7,146.0,2560.7,440.2,1916.3,204.2,IN,Gary,5659.2
"Lake County-Kenosha County, IL-WI M.D.",158.9,2.2,24.0,46.9,85.9,1527.6,254.9,1212.2,60.5,IL,Kenosha,3373.1000000000004
"Clarksville, TN-KY M.S.A.",404.7,6.0,34.7,48.8,315.2,2410.7,488.2,1815.0,107.5,TN,Clarksville,5630.799999999999
"Coeur d'Alene, ID M.S.A.",259.6,1.3,45.4,22.0,190.9,2176.1,465.8,1592.9,117.4,ID,Coeurd'Alene,4871.4
"College Station-Bryan, TX M.S.A.",315.5,4.5,59.9,46.2,204.9,2544.7,451.9,1982.6,110.1,TX,CollegeStation,5720.3
"Corvallis, OR M.S.A.",117.2,2.3,40.2,19.5,55.1,2643.6,358.5,2195.5,89.6,OR,Corvallis,5521.5
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",371.7,4.9,34.7,36.6,295.5,2374.2,469.3,1800.8,104.0,FL,FortWaltonBeach,5491.7
"Dallas-Fort Worth-Arlington, TX M.S.A.2",337.6,4.0,41.3,112.4,179.8,2554.3,503.1,1792.5,258.7,TX,Dallas,5783.7
"Dallas-Plano-Irving, TX M.D.",330.6,4.4,38.5,129.7,158.1,2434.0,495.6,1647.9,290.5,TX,Dallas,5529.3
"Daphne-Fairhope-Foley, AL M.S.A.",195.3,1.5,21.5,36.7,135.6,2064.5,357.4,1627.3,79.8,AL,Daphne,4519.6
"Davenport-Moline-Rock Island, IA-IL M.S.A.",386.1,2.6,58.7,65.2,259.6,2510.3,492.8,1883.7,133.8,IA,Davenport,5792.8
"Decatur, AL M.S.A.",221.4,3.9,24.2,37.3,155.9,2354.9,573.8,1631.7,149.4,AL,Decatur,5152.5
"Des Moines-West Des Moines, IA M.S.A.",367.5,3.4,37.3,54.0,272.8,2349.8,525.3,1609.6,215.0,IA,DesMoines,5434.700000000001
"Detroit-Warren-Dearborn, MI M.S.A.",498.1,8.9,45.4,120.7,323.0,2008.4,425.3,1326.5,256.6,MI,Detroit,5012.900000000001
"Warren-Troy-Farmington Hills, MI M.D.",220.6,1.6,37.4,33.9,147.7,1371.0,235.8,1022.4,112.8,MI,Warren,3183.2
"Dothan, AL M.S.A.",349.6,3.4,35.7,49.9,260.7,2554.0,641.4,1771.8,140.8,AL,Dothan,5807.3
